pid,A,Y,X,W,Z
0,0.0,-1.4107,-1.2346,-2.3831,0.7257
1,1.0,-0.2278,-0.4077,0.3091,-1.5526
2,1.0,0.4006,-0.4266,0.7922,-0.0158
3,0.0,-1.3285,0.1079,-0.5618,-0.576
4,0.0,4.2622,1.2621,1.1291,1.6318
5,1.0,0.5197,-0.4848,-0.9484,1.1516
6,1.0,1.1932,-0.1006,0.804,-0.3714
7,0.0,0.8555,-0.5126,0.4914,0.0984
8,0.0,-3.3439,-2.5206,-1.8579,-0.5853
9,0.0,1.1165,-0.349,-0.056,1.3155
10,1.0,1.0058,-1.1264,-2.385,0.4035
11,1.0,0.3065,0.1787,-1.0316,-1.4623
12,1.0,1.065,-0.8383,2.2019,0.7494
13,0.0,1.2003,2.7958,-1.8878,-0.9238
14,1.0,-0.5809,0.7954,-1.1067,-0.936
15,0.0,-1.6486,0.2748,-1.5419,-2.3499
16,1.0,2.6131,-1.3556,0.2694,2.3054
17,1.0,0.2413,-0.4505,0.0234,-0.1503
18,1.0,2.9014,0.9357,1.9234,0.2341
19,1.0,0.9454,2.1371,-0.648,-0.5875
20,0.0,-2.7844,0.047,-2.3117,-0.4414
21,1.0,-0.6149,-0.0588,-0.9013,0.2982
22,0.0,0.8984,0.301,1.9113,0.8025
23,0.0,-1.3657,-0.6142,-1.2173,-0.7504
24,1.0,2.3677,0.2306,1.612,0.8194
25,1.0,-1.4384,-0.5728,-1.2669,-1.0581
26,0.0,2.3387,-0.3323,1.5004,0.2282
27,0.0,0.2437,0.1178,0.5575,2.0427
28,0.0,-2.6083,-0.2938,-1.5418,0.4564
29,1.0,0.953,0.8986,-2.1103,-0.2894
30,0.0,2.3241,1.649,1.0417,-1.2882
31,0.0,-2.2157,-0.5464,-0.9733,-1.863
32,1.0,1.5214,-0.0785,0.0614,0.7647
33,1.0,-0.6185,0.1023,-1.8239,-0.2027
34,0.0,-1.836,-0.9048,1.8862,-4.4442
35,0.0,-2.0611,-0.7516,-0.6226,-2.1327
36,0.0,-1.7588,0.9056,-1.0324,-1.8278
37,0.0,-2.7176,-0.952,-2.6021,-0.6681
38,0.0,-2.508,-1.1948,-0.1719,-0.9264
39,1.0,2.4852,0.7933,2.1348,0.5572
40,1.0,1.7402,-0.9083,1.214,-1.8527
41,0.0,-0.7469,1.7017,-1.4464,-1.3981
42,1.0,0.8788,0.0698,-0.1921,1.3144
43,0.0,0.3692,1.2002,-3.2365,-1.8487
44,1.0,-0.7342,-1.1128,1.3302,0.8922
45,0.0,1.1766,0.7309,-2.4869,-0.0614
46,0.0,-1.5532,0.3879,-1.6574,-2.1942
47,0.0,-1.1421,0.7536,-0.9757,0.6445
48,0.0,-0.838,-1.9125,-3.0233,0.4534
49,1.0,-0.0338,0.6893,-1.9876,-0.1683
50,1.0,1.8879,-0.7806,1.1208,0.7188
51,0.0,-1.9839,-1.7759,-1.7605,-0.49
